id,name,phone_number,url,notification,primary_care_doctor,adress,holiday_support
20,日比谷石綿クリニック,03-3503-7757,-,当院に定期的に受診している方のみとなります。また、発熱中の方は直接来院されても診察できないので、電話でご相談したうえで、初期対応は行います。,0,東京都千代田区内幸町2-2-1日本プレスセンタービルB1,0.0
21,MYメディカルクリニック大手町,03-4565-0200,-,なし,1,東京都千代田区大手町大手町2丁目3番1号大手町プレイス地下2階,0.0
22,医療法人社団 松伯会 山王クリニック,03-3580-5001,-,なし,1,東京都千代田区永田町2-11-1山王パークタワー25階,2
23,医療法人社団正誠会林医院,03-3253-7436,-,なし,1,東京都千代田区外神田3-7-1,0.0
24,雪月花メディカルクリニック秋葉原診療所,03-5812-5301,-,なし,1,東京都千代田区外神田6-14-2 サカイ末広ビル7F,0.0
25,秋葉原内科saveクリニック,03-6206-0903,-,なし,1,東京都千代田区外神田2-10-3 ソカロアキバ2階,0.0
26,ユアクリニック秋葉原,03-3256-1180,-,なし,0,東京都千代田区外神田4-9-2千住ビル4階,0.0
27,医療法人社団和平会 坪井医院,03-3866-7815,-,なし,0,東京都千代田区神田和泉町1-13-12,0.0
28,医療法人社団 鈴森内科クリニック,03-3253-7081,-,なし,1,東京都千代田区神田岩本町1番地 岩本町ビル4F,0.0
29,瀬木診療所,03-3866-7313,-,なし,1,東京都千代田区岩本町 １-７-１,0.0
30,医療法人社団愛明会岩本町医院,03-3851-4841,-,なし,0,東京都千代田区岩本町3-4-1廣瀬ビル2階,0.0
31,EKIクリニック,03-6206-0710,-,なし,0,東京都千代田区神田岩本町1-14　KDX秋葉原ビルB1F,0.0
32,秋葉原あつたアレルギー呼吸器内科クリニック,03-3253-4159,-,予約は電話での対応となります。土曜日は診療対応のみとなり、検査対応不可です。,0,東京都千代田区神田岩本町1-5 清水ビル6階,0.0
33,神田すこやかクリニック,web予約,https://www.kanda-sukoyaka.com/contact/,なし,1,東京都千代田区神田須田町1-30-1パークホームズ千代田淡路町104,0.0
34,あたまと体のヘルスケアクリニック神田,web予約,atamato-karada.com,なし,1,東京都千代田区神田須田町1丁目10-42、エスペランサ神田須田町2F,1.0
35,雪月花メディカルクリニック秋葉原中央通診療所,03-3525-8025,-,なし,1,東京都千代田区神田須田町1-7-8 秋葉原シグマビル1階,0.0
36,医療法人社団 仁成守会 秋元医院,03-5297-5888,-,なし,0,東京都千代田区神田東松下町19,0.0
37,二宮内科クリニック,03-3254-5007,-,発熱外来は電話予約後にオンラインで申し込み手続きをしてください。HPのオンライン診療から申し込み、問診票へご回答下さい。チャットで診察予定等をお知らせします。,1,東京都千代田区鍛冶町1-9-1 第２大久保ビル3F,0.0
38,神田医院,03-3252-8896,-,なし,1,東京都千代田区鍛冶町一丁目8番6号神田KSビル２階,0.0
39,神田駅東口クリニック,03-6271-7916,-,なし,0,東京都千代田区鍛冶町2-8-6 メディカルプライム神田2Ｆ,2
40,オネストＬクリニック東京神田院,web予約,https://docs.google.com/forms/d/e/1FAIpQLSfHeR_Jh10Drp-Od86V500KbV-drZ08TqXLd4YxBn1_HAgnew/viewform,なし,1,東京都千代田区神田鍛冶町三丁目三番地一 栄立ビル４階,1.0
41,神田多町クリニック,03-6260-9333,-,なし,0,東京都千代田区神田多町2-7,2
42,医療法人社団淺野会あさのクリニック,web予約,https://asano-clinic.info/pcr/,なし,1,東京都千代田区内神田1-15-12-4F,0.0
43,神田駅前クリニック内科,03-6285-2822,-,なし,1,東京都千代田区内神田3-13-2　松尾ビル５階,1.0
44,医療法人社団裕健会神田クリニック,03-3252-0621,-,なし,0,東京都千代田区内神田２-４-１,0.0
45,医療法人社団 神田診療所,03-3256-0086,-,通常の待合室・診察室は使用できません。必ず電話予約して下さい。予約の空きが無い場合もあります。ご了承下さい。,0,東京都千代田区内神田2-8-14 高橋ビル1F,0.0
46,九段坂内科消化器内科クリニック,web予約,https://kudanzaka-clinic.jp/,なし,1,東京都千代田区神田神保町3丁目2-3Daiwa神保町3丁目ビル,0.0
47,医療法人社団伸陽会神保町消化器科・内科,03-3515-3171,-,なし,1,東京都千代田区神田神保町2-9-1- 4階,0.0
48,加賀耳鼻咽喉科クリニック,03-3295-3387,-,なし,1,東京都千代田区神田神保町1-31-1 加賀耳鼻科ビル,0.0
49,加賀医院,03-3291-9951,-,なし,0,東京都千代田区神田神保町1-35,2
50,メディカクリニック,web予約,http://www.shimoi.or.jp/medica/pcr,なし,1,東京都千代田区神田小川町3-1-10　メディカビル4階,0.0
51,山中　内科・リウマチ科クリニック,03-5280-1371,-,なし,0,東京都千代田区神田小川町３-６-９ 神田第２アメレックスビル８階,0.0
52,医療法人社団遠藤クリニック,03-3295-1013,-,なし,0,東京都千代田区神田錦町1-8,0.0
53,医療法人社団誠和堂,03-3261-9679,-,なし,1,東京都千代田区神田三崎町2-20-1,0.0
54,水道橋東口クリニック,03-3291-1270,-,なし,0,東京都千代田区神田三崎町1-3-12 水道橋ビル9階,0.0
55,医療法人財団駿愛会 駿河台診療所診療所,03-3219-1121,-,オンライン診療は事前に電話での予約が必要です。,1,東京都千代田区神田駿河台2丁目1-45ニュー駿河台ビル5階,0.0
56,医療法人社団 縁風会 ユアクリニックお茶の水,03-3259-1190,-,発熱外来・オンライン診療は完全予約制です。,1,東京都千代田区神田駿河台２-４ 日健ビル３F,0.0
57,お茶の水耳鼻咽喉科・アレルギー科,03-5843-9226,-,当院ではオンライン診療（LINEドクター）しております。,1,東京都千代田区神田駿河台2-10-6VORT御茶ノ水2階,0.0
58,公益財団法人佐々木研究所附属 杏雲堂病院,03-3292-2051,-,なし,1,東京都千代田区神田駿河台１-８,0.0
59,お茶の水血管外科クリニック,03-5281-4103,-,なし,0,東京都千代田区神田駿河台2-1-4 ヒルクレスト御茶ノ水5階,0.0
60,医療法人社団　済安堂　井上眼科病院,03-3295-0911,-,事前に電話連絡をお願いいたします,0,東京都千代田区神田駿河台4-3,0.0
61,医療法人財団　神尾記念病院,03-3253-3351,-,"事前に電話連絡をお願い致します。
（土曜日：第２・４休診）",0,東京都千代田区神田淡路町二丁目２５番地,0.0
62,医療法人社団亮友会大塩医院,03-3251-6878,-,なし,0,東京都千代田区神田淡路町2-6-2,2
63,医療法人財団　神尾記念病院附属聴覚クリニック,03-3253-8733,-,"事前に電話連絡をお願い致します。
(土曜日：第２・４休診）",0,東京都千代田区神田淡路町二丁目２１番１１号山崎ビル2F･3F･4F ,0.0
64,水道橋メディカルクリニック,03-3518-6127,-,なし,1,東京都千代田区西神田1-4-11サンポウ水道橋ビル301,0.0
65,日本大学病院,03-3293-1711,-,なし,0,東京都千代田区神田駿河台一丁目６番,0.0
66,公益社団法人東京都教職員互助会 三楽病院,03-3292-3981,-,なし,1,東京都千代田区神田駿河台２-５,0.0
67,社会福祉法人三井記念病院,03-3862-9111,-,事前に電話予約が必須です。紹介状が無い場合医療費と別に5，500円かかる場合がございます。電話予約後、病院到着しましたら建物に入らず再度代表電話にご連絡ください,1,東京都千代田区神田和泉町1番地,0.0
68,医療法人社団駿昭会 飯田橋西口クリニック,web予約,https://www.iwc-cl.jp/,電話予約（03-3265-0203）も可,1,東京都千代田区富士見2-13-16上田ビル1F,1.0
69,医療法人社団CFI  クリニックフォア飯田橋,web予約,https://reservation.clinicfor.life/c/iidabashi,なし,1,東京都千代田区富士見2-7-1 飯田橋プラーノ 1F,1.0
70,医療法人社団八橋会 飯田橋耳鼻咽喉科医院,03-3230-1916,-,なし,0,東京都千代田区富士見2-11-10 レオ飯田橋ビル6階,2
71,飯田橋東口内科心療内科診療所,web予約,https://www.iidabashi-shinryounaika.jp/,"HPをご覧の上でメールでお申し込みください。お電話では対応できません。お盆休みや臨時休診日もありますのでHPをしっかりご確認ください。
",1,東京都千代田区飯田橋4-9-9第七田中ビル8F,0.0
72,医療法人社団慶洋会 ケイアイ飯田橋クリニック,03-3239-2777,-,なし,1,東京都千代田区飯田橋3-10-10 ガーデンエアタワー2階,0.0
73,やじまクリニック,03-3261-7853,-,なし,1,東京都千代田区飯田橋1-8-9-201,0.0
74,医療法人社団しらかわ小児科洋洋クリニック,03-6272-3318,-,必ずお電話をください。時間を指定させて頂きます。日曜日は抗原キットのみの対応になります。,1,東京都千代田区富士見２-１０-２ 飯田橋グランブルーム サクラテラス３Ｆ,0.0
75,九段下駅前まめクリニック,web予約,https://reza.3bees.com/p/8bdd/online_reservations,なし,1,東京都千代田区九段北1-3-2大橋ビル3階,1.0
76,九段下駅前ココクリニック,03-5212-5551,-,99%当日中にPCR結果をお伝えしております。遠慮無くお電話にてお問合せください。,1,東京都千代田区九段北1-2-1 九段中央ビル3階,0.0
77,千代田区休日応急診療所,03-5211-8202,-,事前にお電話でお問い合わせください。受付時間は、９：００～１２：３０、１４：００～１７：３０、１９：００～２１：３０となります。,0,東京都千代田区九段北1-2-14　千代田保健所２F,1.0
78,MIZENクリニック市ヶ谷,web予約,https://www.mizenclinic-ichigaya.com/,なし,1,東京都千代田区九段南4-7-17 杉喜ビル６階,0.0
79,医療法人社団 滝医院,03-3264-3101,-,3日以内に発熱のある方は、院内感染予防のためお電話で予め予約を取って受診してください。予約なく来院されると診察出来ない場合がありますので、予めご了承ください。,1,東京都千代田区九段南4-3-1,0.0
80,日本医科大学呼吸ケアクリニック,03-5276-2325,-,受入れ人数に限りがあり、診療を受けられない場合もあることをご了承ください,0,東京都千代田区九段南4-7-15JPR市ヶ谷ビル8階,0.0
81,医療法人社団聡叡会あすかクリニック,03-3261-5736,-,なし,0,東京都千代田区九段南４丁目６番１号 九段シルバーパレス４０１号室,2
82,国家公務員共済組合連合会 九段坂病院,03-3262-9191,-,なし,1,東京都千代田区九段南１-６-１２,0.0
83,市ヶ谷駅前診療所,03-3234-5021,-,なし,1,東京都千代田区五番町2 横山ビル1F,0.0
84,ふたばクリニック,03-6268-9620,-,なし,1,東京都千代田区四番町４-２２四番町ビル１０１,1.0
85,医療法人社団Nobisuko 半蔵門のびすここどもクリニック,03-6261-7540,-,なし,1,東京都千代田区一番町4-16,0.0
86,佐々木内科クリニック,03-3264-3635,-,なし,1,東京都千代田区麹町4-4-6麹町4丁目小倉ビル2階,0.0
87,浅井医院,03-3261-0453,-,なし,1,東京都千代田区麹町3-7-24-101,0.0
88,グローバルヘルスケアクリニック,03-3222-8832,-,なし,1,東京都千代田区麹町3-12-2 麹町MSビル1階,0.0
89,茂恵会　半蔵門病院,03-3239-3355,-,なし,1,東京都千代田区麹町1-10,0.0
90,麹町クリニック,03-3238-7654,-,なし,1,東京都千代田区麹町3-4-7 啓ビル５階,0.0
91,医療法人社団 荘和会 半蔵門胃腸クリニック,03-3265-5566,-,なし,0,東京都千代田区麹町1-7-25 フェルテ麹町1.7ビル地下1F,0.0
92,医療法人社団　大佑会　麹町明光耳鼻咽喉科,03-3288-7333,-,新型コロナウイルス感染症に対し抗原検査およびPCR検査を施行しています。,0,東京都千代田区麹町1-5-4　ライオンズステーションプラザ半蔵門101号,0.0
93,麹町消化器・内視鏡クリニック,03-5215-1114,-,なし,0,東京都千代田区麹町4-6-8ダイニチ麹町ビル1階,2
94,医療法人社団あんしん会四谷メディカルキューブ,03-3261-0430,-,なし,1,東京都千代田区二番町7-7,0.0
95,常喜医院,web予約,http://joki-clinic.jp/info.html,なし,1,東京都千代田区六番町７-1番町グロリアビル１階,0.0
96,大森胃腸科,03-3234-6226,-,なし,1,東京都千代田区隼町2-15,0.0
97,東京シーサイドクリニック,03-6272-6616,-,なし,1,東京都千代田区平河町２丁目１４番７号 ＹＵＫＥＮ平河町ビル３階,0.0
98,うざわ内科クリニック,03-3237-7732,-,なし,0,東京都千代田区平河町２-７-９J A共済ビル3F,2
99,貝坂クリニック,03-5213-6710,-,なし,0,東京都千代田区平河町1-4-12平河町ｾﾝﾀｰﾋﾞﾙ10階3号,0.0
100,医療法人社団千禮会 千代田漢方内科クリニック,03-5357-1575,-,なし,0,東京都千代田区平河町１-７-１１第二大盛丸平河町ビル２階,0.0
101,コハシ文春ビル診療所,03-3264-4673,-,なし,1,東京都千代田区紀尾井町3-23文藝春秋新館,0.0
102,紀尾井町医院,9016691000,-,"抗原検査、PCR検査共に、5分~13分で即日結果が出ます。 
小児も0歳時から対応も可能です。
まずは、09016691000までお電話ください。",1,東京都千代田区紀尾井町1-11 ウスイビル1階,1.0
103,紀尾井町内科,03-6265-6500,https://clinics-app.com/clinic/5942104bd843680009e96033,なし,1,東京都千代田区紀尾井町3-1KKDビル1階,0.0
104,東京逓信病院,03-5214-7111,-,なし,1,東京都千代田区富士見2-14-23,0.0
105,金沢耳鼻咽喉医院,03-3688-8787,-,当院来院する際は、必ずお電話ください。,0,東京都千代田区神田和泉町1-1-7　和泉ビル２階,0.0
106,医療法人社団中央みなと会 三井タワークリニック,03-3510-9955,-,なし,0,東京都中央区日本橋室町2-1-1 日本橋三井タワー5階,0.0
107,日本橋循環器科クリニック,03-5641-4133,-,・遠隔診療はかかり付け患者のみで電話診療となります。　・対応可能時間は通常診療の都合上前後することがあります。,1,東京都中央区日本橋小伝馬町13-4共同ビル201,0.0
108,みらいクリニック,03-3663-3366,-,なし,1,東京都中央区日本橋小伝馬町9-6　松村ビル3階,0.0
109,公益財団法人朝日生命成人病研究所附属医院,03-3639-5501,-,診療可能な人数は1日2人までです、必ず事前にお電話でご相談ください。,0,東京都中央区日本橋馬喰町2-2-6 朝日生命須長ビル２・3・4階,0.0
110,日本橋馬喰町クリニック,03-5843-6275,-,来院前に電話で予約をして下さい,0,東京都中央区日本橋馬喰町１-６-１ JU SKYTOWER 日本橋３階,0.0
111,東日本橋内科クリニック,03-3249-0873,-,"来院されている患者様診療の合間になるので、時間は指定できません。ご了承ください。
また8/19(金)の午後、8/23(火)、8/24(水)休診しております。",1,東京都中央区東日本橋３-１１-８MKT東日本橋ビル２階,0.0
112,はなももキッズクリニック東日本橋,03-6810-8722,-,発熱症状のある方はお電話ください,1,東京都中央区東日本橋3-11-8MKT東日本橋ビル３階,0.0
113,久松町まつうらクリニック,03-6661-0024,-,なし,1,東京都中央区日本橋久松町10-8 フィルパーク日本橋久松町 ２階,0.0
114,日本橋かわまた内科クリニック,03-3669-2626,-,なし,1,東京都中央区日本橋富沢町10-18,0.0
115,日本橋浜町クリニック,03-3663-1811,-,なし,1,東京都中央区日本橋浜町2-38-3,0.0
116,トルナーレ内科外科,03-3664-7708,-,なし,1,東京都中央区日本橋浜町3-3-1-208,0.0
117,塙小児科医院,03-3666-6035,-,なし,0,東京都中央区日本橋浜町2-20-2,0.0
118,日本橋浜町耳鼻咽喉科,03-6661-6088,https://clinic.smiley-reserve.jp/nihonbashi-hamacho-ent,新型コロナウイルス感染拡大に伴う当院の対応について、事前にご確認ください。 https://hamacho-ent.com/blog_clinic/950,0,東京都中央区日本橋浜町3-25-10 日本橋浜町ポストビル3F,0.0
119,さいとう内科・循環器クリニック,03-3639-3110,-,なし,1,東京都中央区日本橋大伝馬町13-8メディカルプライム日本橋小伝馬町3階,0.0
120,小伝馬町こどもクリニック,03-3662-5591,-,電話診療のみ、オンライン診療なし,1,東京都中央区日本橋大伝馬町13-8メディカルプライム日本橋小伝馬町2階,0.0
121,大伝馬クリニック,03-3661-5967,-,なし,0,東京都中央区日本橋大伝馬町9-7,2
122,ANDキッズクリニック日本橋,web予約,https://ssc8.doctorqube.com/andkids/,新型コロナウイルス感染症が疑われる方は、WEB予約だけでなくお電話でもご連絡をお願いいたします。場合により確認のため当院よりお電話をおかけする場合もございます。,1,東京都中央区日本橋堀留町2-6-6 ライフサイエンスビル7階,0.0
123,医療法人社団銀座木原会 日本橋木原クリニック,03-5651-1113,-,なし,1,東京都中央区日本橋堀留町２-８-５デンヨービル１階,0.0
124,医療法人社団安寿厚生会らいふサイエンス内科クリニック,03-5652-0725,-,なし,1,東京都中央区日本橋堀留町２-６-６ライフサイエンスビル５階,0.0
125,水天宮前小児科,web予約,https://d.inet489.jp/stg0021/man/home/home.cgi,インターネットからご予約された方は、必ずお電話で確認してください。,1,東京都中央区日本橋人形町2-12-11 水天宮MYビル３０１,0.0
126,内科総合クリニック人形町,web予約,https://ningyocho.reserve.ne.jp/sp/index.php?history-index.php%3Fcms_type%3Dfever%26no_cache%3D16424,なし,1,東京都中央区日本橋人形町1-6-10ユニコム人形町ビル1階,0.0
127,医療法人社団謙昭会村田内科クリニック,03-3666-3880,-,なし,1,東京都中央区日本橋人形町1-5-８,0.0
128,医療法人社団栄晴会　中央内科クリニック,03-3668-0088,-,なし,1,東京都中央区日本橋人形町2-7-8,0.0
129,医療法人社団 玉寄クリニック,03-3661-5555,-,なし,1,東京都中央区日本橋人形町1-12-11-105,0.0
130,医療法人社団高柳耳鼻咽喉科,03-3667-7764,-,なし,0,東京都中央区日本橋人形町2-21-1FSビル二階,2
131,東京心臓血管・内科クリニック,03-5641-1177,-,なし,0,東京都中央区日本橋人形町1-7-7 笠原ビルディング3階,2
132,水天宮前いきいきクリニック内科・呼吸器内科,03-3665-1159,-,予約時間：月～水・金：9:00～18:30、土：9:00～13:00,1,東京都中央区日本橋蛎殻町1-29-6水天宮前東急ビル2階,0.0
133,箱崎診療所,03-6661-6688,-,なし,1,東京都中央区日本橋箱崎町32-9 猪子ビル1階,0.0
134,つぶく医院,0336661687,-,なし,0,東京都中央区日本橋小網町３-１２　1階、２階,0.0
135,医療法人社団 小池医院,03-3271-0813,-,なし,1,東京都中央区日本橋室町1-12-9,0.0
136,日本橋内科・アレルギー科クリニック,03-3274-4159,-,なし,1,東京都中央区日本橋室町2-4-3日本橋室町野村ビル７F,0.0
137,恵友クリニック,03-3241-6088,-,なし,0,東京都中央区日本橋室町１ー６ー１ 真洋ビル４階,0.0
138,日本橋・重田クリニック,03-3241-4045,-,なし,0,東京都中央区日本橋室町4-2-13オバザワビル5階,2
139,日本橋さくらクリニック,０３-６６６１-９０６１,-,なし,1,東京都中央区茅場町1-9-2 稲村ビル5階,0.0
140,セントラルクリニック,03-3669-1238,-,なし,1,東京都中央区日本橋茅場町２-７-９,0.0
141,医療法人社団千秋双葉会日本橋茅場町耳鼻咽喉科,03-3669-2085,-,なし,1,東京都中央区日本橋茅場町2-8-10碧山ビル3階,0.0
142,公益財団法人早期胃癌検診協会,03-3668-6800,-,なし,0,東京都中央区日本橋茅場町2-6-12,2
143,鉄鋼会館診療所,03-3669-4888,-,なし,0,東京都中央区日本橋茅場町3-2-10鉄鋼会館5階,0.0
144,茅場町パークサイドクリニック,03-3666-2212,-,なし,0,東京都中央区日本橋茅場町2-2-1 東石ビル１階,2
145,サルスクリニック日本橋,web予約,https://salus-nb.reserve.ne.jp/sp/index.php?,発熱症状のある方、濃厚接触者の方は必ず予約サイト（オンライン予約用ページアドレス）から発熱外来をご予約ください。,1,東京都中央区日本橋2-8-1 東京日本橋タワーアネックスB1F,1.0
146,日本橋榎本内科,03-3231-1003,-,なし,1,東京都中央区日本橋3-3-12 E-1ビル3F,0.0
147,医療法人社団健創会 八重洲街診療所,03-3271-1828,-,なし,1,東京都中央区日本橋2-2-20日本橋仲通りビル3階,0.0
148,日本橋れいわ内科,03-3241-2808,-,なし,1,東京都中央区日本橋3-2-15-1F,0.0
149,医療法人社団頌栄会 上田診療所,03-3271-2775,-,なし,0,東京都中央区日本橋2-1-10,0.0
150,八重洲ヤヨイクリニック,03-5204-0841,-,なし,1,東京都中央区八重洲1-9-13,0.0
151,日本橋えがわクリニック,03-5804-0311,https://chouseisancal.com/egawacl,受診御希望の方は必ず事前にお電話03-5204-0311までご予約をお願いします。陽性判明後の健康観察、内服薬処方等患者様に寄り添った丁寧な診療をしております,1,東京都中央区八重洲1-1-3,0.0
152,ヘルス・マネジメント・クリニック,web予約,http://hmclinic-tokyo.org,上記時間以外の受診対応は、当院かかりつけの方のみ対応しています。,1,東京都中央区八重洲２ー１１ー２ 城辺橋ビル１階,0.0
153,医療法人社団順医会京橋クリニック,03-3563-5011,-,なし,1,東京都中央区京橋２-５-２２　キムラヤビル２Ｆ,0.0
154,京橋内科医院,03-3567-8311,-,事前に電話で連絡し、予約してご来院ください。,1,東京都中央区京橋2-8-21昭和ビル別館4階,0.0
155,医療法人鉄蕉会　亀田京橋クリニック,03-3527-9100,無,なし,0,東京都中央区京橋３-１-１東京スクエアガーデン４階・６階,0.0
156,医療法人社団参英会 岩佐耳鼻咽喉科,03-4455-7741,-,なし,0,東京都中央区京橋2-12-4 光和ビル2階,0.0
157,医療法人社団万風会 ウェルエイジング京橋循環器クリニック,03-3564-1511,-,来院前に必ずお電話をください。,0,東京都中央区京橋2-8-21 昭和ビル別館3階,0.0
158,医療法人社団 八丁堀医院,03-3551-8860,-,なし,1,東京都中央区八丁堀2-20-8ー八丁堀綜通ビル9階,0.0
159,医療法人社団三和会中央診療所,03-3551-7522,-,令和4年8月12日午前9時より13時まで、15日午前9時より13時まで発熱外来電話のみ受付可能になりました。,1,東京都中央区八丁堀3丁目20番5号S-GATE八丁堀2階,0.0
160,高橋医院,03-3551-5955,-,なし,1,東京都中央区八丁堀3-26-8 高橋ビル1階,2
161,八丁堀３丁目クリニック,03-6222-2772,-,なし,1,東京都中央区八丁堀3-2-5 八丁堀医療ビル２階,2
162,はま耳鼻咽喉科クリニック,03-3523-4187,-,なし,1,東京都中央区新川2-28-2,0.0
163,新富げんかクリニック,web予約,http://www.shintomi-genka-cl.jp/,なし,1,東京都中央区新富２-１４-５ 不二窯業株式会社２F・３F,0.0
164,医療法人社団 恒雅会 吉井医院,03-3551-2032,-,なし,1,東京都中央区新富1-5-14,0.0
165,EASE女性のクリニック,web予約,https://medical.apokul.jp/web/63/reservations/add?kamok_id-158,なし,1,東京都中央区東京都入船1-1-24　4F,0.0
166,厚生診療所,03-3551-4690,-,なし,1,東京都中央区湊3-18-17マルキ榎本ビル,0.0
167,医療法人社団 中央みなと会 中央みなとクリニック,03-5565-9955,-,なし,0,東京都中央区明石町8-1 聖路加タワー2階,0.0
168,医療法人社団ひこばえ会築地ふたばクリニック,03-6226-5812,-,なし,1,東京都中央区築地1-9-9細川築地ビル6F,0.0
169,医療法人社団春令会築地クリニック,03-3549-6661,-,なし,1,東京都中央区築地6-25-10築地センタービル2階・3階,0.0
170,"医療法人社団天裕会
のぞみクリニック築地",03-6260-6008,https://www.hope-medical.jp/#/,日曜・祭日は休診です。発熱外来受付は（火）を除く、月・水・木・金・土（14：30～16：30の2時間です。）hppts://www.,1,東京都中央区築地7-11-5　中銀ベル築地マンシオン2階,0.0
171,TFCメディカルクリニック,03-6281-5170,-,発熱のある方、濃厚接触者の方は事前にお電話ください,1,東京都中央区築地4-7-5 築地KYビル3階,0.0
172,おおいわ腎クリニック,03-6226-3511,-,なし,0,東京都中央区築地1-9-9　細川築地ビル６階,0.0
173,国立がん研究センター中央病院,03-3542-2511,-,電話診療は①当院で継続して治療を受けており、かつ症状が落ち着いている方②薬が手元に届くまで3~5日間待つ事が可能な方が対象です。,0,東京都中央区築地5-1-1,1.0
174,石川島記念病院,03-3532-3201,-,なし,1,東京都中央区佃2-5-2,0.0
175,医療法人社団 橘耳鼻咽喉科クリニック,03-5548-6011,-,なし,0,東京都中央区佃一丁目１１番８号 ピアウエストスクエア３階３０１,0.0
176,リバーシティクリニック東京,03-6219-7771,-,院内でのPCR検査は行っておりません（中央区PCR検査センターへの紹介のみ）、予約枠は1日4名で空き枠がない場合もございますのでご了承ください。,0,東京都中央区佃1-11-8 ピアウエストスクエア2F,0.0
177,月島クリニック,03-3531-0082,-,簡易キットで行う、抗原定性検査を当院で実施しています。10分程で結果が出ます。中央区住民の方のPCR検査は中央区医師会で実施している検査をご案内致します。要予約,1,東京都中央区月島4-16-7-106,0.0
178,一般社団法人　医釣会　月島きずなクリニック,03-5859-0157,-,なし,1,東京都中央区月島２-７-９,0.0
179,河内クリニック,03-5548-7060,https://kawachi-cl.org,なし,0,東京都中央区月島1-14-13 月島ホームズ102,0.0
180,医療法人社団小坂成育会 こども元気クリニック,03-5547-1191,-,なし,1,東京都中央区月島三丁目30番3号ベルウッドビル2階,1.0
181,みなとホームケアクリニック,03-5859-0812,-,なし,0,東京都中央区月島3-24-5 月島NRビル401,2
182,月島キャピタルクリニック,03-3533-8981,-,なし,1,東京都中央区月島1-5-2-203,2
183,医療法人社団平晴会晴海3丁目クリニック,web予約,https://www.harumi3-cl.jp/,受診時は必ず電話連絡をお願いいたします。　03-3536-8633　　またオンライン診療も行っております。,1,東京都中央区晴海3-10-1　Daiwa晴海ビル1F,1.0
184,医療法人社団　竹榮舎　たけぶちファミリークリニック,03-3534-2757,-,なし,1,東京都中央区晴海2-5-24　晴海センタービル１階,0.0
